PRICE,DEPRE_VALUE_PER_YEAR,MILEAGE_KM,DEREG_VALUE_FROM_SCRAPE_DATE,OMV,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,CAR_AGE,POST_AGE,TRANSMISSION,VEHICLE_TYPE_Hatchback,VEHICLE_TYPE_Luxury Sedan,VEHICLE_TYPE_MPV,VEHICLE_TYPE_Mid-Sized Sedan,VEHICLE_TYPE_Others,VEHICLE_TYPE_SUV,VEHICLE_TYPE_Sports Car,VEHICLE_TYPE_Stationwagon,CAR_CATEGORY_ECONOMY,CAR_CATEGORY_EXOTIC,CAR_CATEGORY_LUXURY,CAR_CATEGORY_MID_LEVEL,CAR_CATEGORY_OTHERS,CAR_CATEGORY_ULTRA_LUXURY
110800.0,9.808627271512169,10.649630327748017,10.743177978201487,10.42150723688236,10.433792221839603,1830.0,7.818832443803404,7.3427791893318455,1.0,6.0,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
170000.0,10.35806023475132,11.211820372186306,11.535371653800059,11.383795799088267,10.87806606028079,1194.0,8.005700678662542,7.478734825567875,2.0,7.0,12,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
51500.0,9.648595302907339,11.350406535472453,10.133924442677802,9.903687532538795,10.950841633920426,731.0,7.243512974665482,7.117205503164344,2.0,8.0,35,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
222888.0,9.974877548622802,8.779557455883728,11.6994299278685,10.525004458144746,11.445748800323544,3409.0,7.194436851100335,7.346010209913293,1.0,2.0,14,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
91800.0,9.700146628518098,10.173056569560982,9.950895809931119,9.69356866855007,10.30925261565329,1981.0,7.183870715062453,6.9584483932976555,1.0,5.0,13,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
155800.0,9.764800032762235,9.852194258148577,11.387554967186363,9.96415923206886,11.419844797954187,3016.0,7.599901959208498,7.362645270417825,1.0,3.0,5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
144800.0,10.165082290224591,11.407564949312402,11.435601558006258,11.274135138829827,10.915088464214607,1224.0,8.00469951054955,7.526178913346146,2.0,7.0,6,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
115800.0,9.854297308345357,11.097410021008562,10.614523765931814,10.158982120734663,10.510641019929098,1948.0,7.374629015218945,7.268920128193722,1.0,6.0,7,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
112800.0,9.548953173096507,9.903487552536127,10.760452818325469,10.01913497606209,10.872541497937167,2800.0,6.906754778648554,7.098375638590786,1.0,3.0,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
108800.0,9.973946016184689,11.779128505744886,10.99678574638047,10.838266322522415,10.839580911706463,1306.0,7.599901959208498,7.3395376954076745,2.0,7.0,7,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
