,LISTING_URL,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_PER_YEAR,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE,POST_DATE
60,https://www.sgcarmart.com/used_cars/info.php?ID=1225274&DL=2199&utm_content=SLeligible,Mitsubishi,67800,13450,09-Feb-2009,168236,2008,1815,Manual,16098,26/01/2024,19846,19846,31933,1828,1998,1397,5,Mid-Sized Sedan,03-Jan-2024
61,https://www.sgcarmart.com/used_cars/info.php?ID=1224325&DL=3760&utm_content=SLeligible,Ferrari,1238,110860,27-Aug-2022,700,2022,3796,Auto,526157,26/01/2024,287854,573279,112001,3130,3902,1530,1,Sports Car,26-Jan-2024
62,https://www.sgcarmart.com/used_cars/info.php?ID=1259449&DL=4031,Volkswagen,31688,15830,13-Oct-2015,67600,2015,624,Auto,13146,26/01/2024,19158,9158,47360,611,1395,1249,3,Hatchback,20-Jan-2024
63,https://www.sgcarmart.com/used_cars/info.php?ID=1229883&DL=2140&utm_content=SLeligible,Hyundai,94800,13010,13-Oct-2020,33000,2020,738,Auto,35674,26/01/2024,14855,14855,36534,2436,1591,1345,1,Mid-Sized Sedan,24-Jan-2024
64,https://www.sgcarmart.com/used_cars/info.php?ID=1263586&DL=3359,Mercedes-Benz,139800,26350,30-May-2018,78888,2018,1202,Auto,52216,26/01/2024,41949,50729,38600,1583,1991,1735,1,SUV,13-Jan-2024
65,https://www.sgcarmart.com/used_cars/info.php?ID=1222665&DL=3350&utm_content=SLeligible,Mercedes-Benz,312800,28980,30-Jun-2023,882,2020,1202,Auto,147433,26/01/2024,56315,78999,116000,3438,1991,1680,1,SUV,04-Dec-2023
66,https://www.sgcarmart.com/used_cars/info.php?ID=1241678&DL=3846&utm_content=SLeligible,Honda,60888,15060,26-Sep-2017,64800,2017,684,Auto,23069,26/01/2024,16353,11353,42801,1305,1497,1078,3,Mid-Sized Sedan,26-Dec-2023
67,https://www.sgcarmart.com/used_cars/info.php?ID=1249651&DL=2140&utm_content=SLeligible,Hyundai,106800,14280,15-May-2021,60000,2021,742,Auto,38798,26/01/2024,18391,5000,48002,2653,1598,1280,1,Mid-Sized Sedan,14-Jan-2024
68,https://www.sgcarmart.com/used_cars/info.php?ID=1258863&DL=1339,Citroen,30800,14970,17-Dec-2015,138300,2015,508,Auto,13523,26/01/2024,18320,5000,56989,365,1199,975,3,SUV,21-Jan-2024
69,https://www.sgcarmart.com/used_cars/info.php?ID=1199477&DL=4419&utm_content=SLeligible,Honda,88800,23220,23-Nov-2007,,2007,1815,Manual,19188,26/01/2024,27654,30420,50168,1372,1998,1270,6,Sports Car,07-Dec-2023
70,https://www.sgcarmart.com/used_cars/info.php?ID=1263543&DL=4031,Honda,61388,15870,12-Oct-2017,63300,2017,682,Auto,21497,26/01/2024,24661,5000,49189,1340,1496,1280,2,,13-Jan-2024
71,https://www.sgcarmart.com/used_cars/info.php?ID=1241938&DL=3933&utm_content=SLeligible,Volkswagen,141868,19110,12-May-2021,12000,2020,1795,Auto,37850,26/01/2024,40751,5000,49778,2650,,1805,3,,26-Jan-2024
72,https://www.sgcarmart.com/used_cars/info.php?ID=1227989&DL=2799&utm_content=SLeligible,BMW,104800,16340,25-Jun-2010,130000,2010,3307,Auto,21530,26/01/2024,76228,76228,33568,2319,2979,1895,2,Luxury Sedan,12-Jan-2024
73,https://www.sgcarmart.com/used_cars/info.php?ID=1247874&DL=3975&utm_content=SLeligible,Land,168800,28020,14-Jun-2018,62000,2017,1210,Auto,80981,26/01/2024,66620,91916,38700,1588,1997,1983,2,SUV,18-Jan-2024
74,https://www.sgcarmart.com/used_cars/info.php?ID=1264073&DL=1001,Mercedes-Benz,46800,17330,01-Feb-2016,111534,2015,740,Auto,25715,26/01/2024,26218,23706,56989,735,1595,1425,3,Hatchback,17-Jan-2024
75,https://www.sgcarmart.com/used_cars/info.php?ID=1245558&DL=1054&utm_content=SLeligible,Honda,73800,13470,02-May-2019,39105,2019,578,Auto,18350,26/01/2024,15750,5750,26659,1920,1318,1052,1,Hatchback,09-Jan-2024
76,https://www.sgcarmart.com/used_cars/info.php?ID=1264723&DL=2440,Toyota,64800,16620,26-Oct-2017,78000,2017,974,Auto,21988,26/01/2024,28353,5000,49996,1344,1797,1440,1,,25-Jan-2024
77,https://www.sgcarmart.com/used_cars/info.php?ID=1232638&DL=2783&utm_content=SLeligible,Honda,84777,14440,27-Jun-2019,50800,2018,682,Auto,24446,26/01/2024,22204,13086,26999,1975,1496,1190,2,SUV,23-Jan-2024
78,https://www.sgcarmart.com/used_cars/info.php?ID=1243568&DL=2793&utm_content=SLeligible,Toyota,101800,18730,29-Jun-2018,67400,2016,1196,Auto,43507,26/01/2024,32740,37836,38600,1612,1986,1610,3,SUV,20-Jan-2024
79,https://www.sgcarmart.com/used_cars/info.php?ID=1264336&DL=1000&utm_content=SLeligible,Toyota,112800,11270,05-May-2014,65000,2014,742,Auto,,26/01/2024,18544,13544,,0,1598,1205,1,Mid-Sized Sedan,20-Jan-2024
80,https://www.sgcarmart.com/used_cars/info.php?ID=1265994&DL=3892,Toyota,355988,32670,19-Jan-2024,3000,2023,1792,Auto,129551,26/01/2024,46075,59543,85010,3318,2493,2080,1,MPV,23-Jan-2024
81,https://www.sgcarmart.com/used_cars/info.php?ID=1265261&DL=3164,BMW,123800,26730,19-May-2017,,2017,1210,Auto,64282,26/01/2024,54822,70680,55414,1187,1998,1540,1,Luxury Sedan,19-Jan-2024
82,https://www.sgcarmart.com/used_cars/info.php?ID=1260863&DL=4217,Hyundai,77800,13650,22-Apr-2019,98459,2019,738,Auto,24692,26/01/2024,12556,12556,29159,1891,1591,1345,1,Mid-Sized Sedan,25-Jan-2024
83,https://www.sgcarmart.com/used_cars/info.php?ID=1183035&DL=2430&utm_content=SLeligible,McLaren,418800,49660,12-Jul-2012,40000,2012,4361,Auto,80133,26/01/2024,278169,278169,95025,3074,3798,1514,1,Sports Car,16-Dec-2023
84,https://www.sgcarmart.com/used_cars/info.php?ID=1050310&DL=2410&utm_content=SLeligible,Honda,179800,,N.A.,10,2021,,Auto,,26/01/2024,27559,,,,1496,,,SUV,14-Jan-2024
85,https://www.sgcarmart.com/used_cars/info.php?ID=1255274&DL=4405&utm_content=SLeligible,Volkswagen,22800,12100,15-Dec-2010,,2010,868,Auto,7032,26/01/2024,25306,25306,18652,373,1390,1285,5,Sports Car,21-Dec-2023
86,https://www.sgcarmart.com/used_cars/info.php?ID=1256111&DL=3597&utm_content=SLeligible,Audi,103800,16610,29-Jul-2019,44826,2019,392,Auto,33208,26/01/2024,23355,24697,26667,2007,999,1280,1,Luxury Sedan,15-Dec-2023
87,https://www.sgcarmart.com/used_cars/info.php?ID=1247200&DL=3627&utm_content=SLeligible,BMW,90000,14560,24-Jun-2010,,2010,1691,Auto,21890,26/01/2024,27983,27983,35416,2255,1995,1455,5,SUV,14-Dec-2023
88,https://www.sgcarmart.com/used_cars/info.php?ID=1232050&DL=4524&utm_content=SLeligible,Porsche,555800,59350,10-Sep-2021,12850,2021,2364,Auto,202689,26/01/2024,130340,206612,62600,2769,2981,1580,1,Sports Car,14-Jan-2024
89,https://www.sgcarmart.com/used_cars/info.php?ID=1262387&DL=2029,Toyota,58800,15010,28-Apr-2017,,2016,742,Auto,29907,26/01/2024,19995,19995,52000,1186,1598,1215,1,Mid-Sized Sedan,21-Jan-2024
90,https://www.sgcarmart.com/used_cars/info.php?ID=1264298&DL=3597,Toyota,132000,14270,07-Sep-2022,17506,2022,682,Auto,76402,26/01/2024,17981,17981,72996,3131,1496,1325,1,MPV,16-Jan-2024
91,https://www.sgcarmart.com/used_cars/info.php?ID=1259545&DL=4229,BMW,89800,19200,31-Oct-2017,81000,2017,684,Auto,40913,26/01/2024,34419,35187,48005,1369,1499,1425,1,Luxury Sedan,29-Dec-2023
92,https://www.sgcarmart.com/used_cars/info.php?ID=1240811&DL=2114&utm_content=SLeligible,Audi,158000,29490,12-Jan-2018,58800,2017,1194,Auto,71478,26/01/2024,61313,82364,45289,1131,1984,2050,2,SUV,22-Jan-2024
93,https://www.sgcarmart.com/used_cars/info.php?ID=1262012&DL=4371&utm_content=SLeligible,Honda,62888,13280,20-Oct-2008,155980,2008,1467,Auto,15282,26/01/2024,22644,22644,32279,1703,1799,1219,5,Mid-Sized Sedan,09-Jan-2024
94,https://www.sgcarmart.com/used_cars/info.php?ID=1264222&DL=4574&utm_content=SLeligible,Honda,36900,12410,16-Jan-2007,,2006,1467,Auto,15654,26/01/2024,20705,22776,52660,760,1799,1219,6,Mid-Sized Sedan,16-Jan-2024
95,https://www.sgcarmart.com/used_cars/info.php?ID=1266009&DL=2633,Mercedes-Benz,118800,22420,17-May-2018,48000,2018,740,Auto,47070,26/01/2024,37480,44472,37010,1550,1595,1425,1,Luxury Sedan,23-Jan-2024
96,https://www.sgcarmart.com/used_cars/info.php?ID=1231613&DL=3303&utm_content=SLeligible,Mercedes-Benz,99800,19050,26-Jun-2018,61000,2017,740,Auto,38008,26/01/2024,28082,31315,36426,1580,1595,1435,3,SUV,25-Jan-2024
